Time (sec),ADC Value (decimal),Light Intensity (%)
0.06705904006958008,1023.0,100.0
0.09627914428710938,1023.0,100.0
0.1253499984741211,1023.0,100.0
0.15441608428955078,1023.0,100.0
0.18372106552124023,1023.0,100.0
0.2130260467529297,1023.0,100.0
0.242340087890625,1023.0,100.0
0.2713770866394043,1023.0,100.0
0.3005399703979492,1023.0,100.0
0.32968926429748535,1023.0,100.0
0.35909008979797363,1023.0,100.0
0.38812923431396484,1023.0,100.0
0.41742706298828125,1023.0,100.0
0.44641995429992676,1023.0,100.0
0.47549009323120117,1023.0,100.0
0.5047099590301514,1023.0,100.0
0.5340311527252197,1023.0,100.0
0.5632100105285645,1023.0,100.0
0.5923101902008057,1023.0,100.0
0.6215031147003174,1023.0,100.0
0.6506681442260742,1023.0,100.0
0.6799881458282471,1023.0,100.0
0.7091889381408691,1023.0,100.0
0.7382931709289551,1023.0,100.0
0.7673940658569336,1023.0,100.0
0.7964749336242676,1023.0,100.0
0.8257350921630859,1023.0,100.0
0.8549959659576416,1023.0,100.0
0.8842391967773438,1023.0,100.0
0.9133269786834717,1023.0,100.0
0.9425711631774902,1023.0,100.0
0.9717211723327637,1023.0,100.0
1.0010571479797363,1023.0,100.0
1.030165195465088,1023.0,100.0
1.059380054473877,1023.0,100.0
1.0884292125701904,1023.0,100.0
1.117577075958252,1023.0,100.0
1.1468172073364258,1023.0,100.0
1.176077127456665,1023.0,100.0
1.2053520679473877,1023.0,100.0
1.2344610691070557,1023.0,100.0
1.2636449337005615,1023.0,100.0
1.2927749156951904,1023.0,100.0
1.322080135345459,1023.0,100.0
1.351201057434082,1023.0,100.0
1.3804280757904053,1023.0,100.0
1.4095501899719238,1023.0,100.0
1.4386639595031738,1023.0,100.0
1.4679582118988037,1023.0,100.0
1.4972429275512695,1023.0,100.0
1.5264410972595215,1023.0,100.0
1.5555191040039062,1023.0,100.0
1.584726095199585,1023.0,100.0
1.6139709949493408,1023.0,100.0
1.6432290077209473,1023.0,100.0
1.6722781658172607,1023.0,100.0
1.7015490531921387,1023.0,100.0
1.7306950092315674,1023.0,100.0
1.7598590850830078,1023.0,100.0
1.7889978885650635,1023.0,100.0
1.818248987197876,1023.0,100.0
1.8475589752197266,1023.0,100.0
1.8766570091247559,1023.0,100.0
1.9058129787445068,1023.0,100.0
1.935007095336914,1023.0,100.0
1.9642961025238037,1023.0,100.0
1.993401288986206,1023.0,100.0
2.0226471424102783,1023.0,100.0
2.0517399311065674,1023.0,100.0
2.0808961391448975,1023.0,100.0
2.11011004447937,1023.0,100.0
2.1393911838531494,1023.0,100.0
2.1687281131744385,1023.0,100.0
2.197736978530884,1023.0,100.0
2.227084159851074,1023.0,100.0
2.256099224090576,1023.0,100.0
2.2853970527648926,1023.0,100.0
2.3145201206207275,1023.0,100.0
2.3437581062316895,1023.0,100.0
2.372974157333374,1023.0,100.0
2.402024984359741,1023.0,100.0
2.4312379360198975,1023.0,100.0
2.460465908050537,1023.0,100.0
2.4897611141204834,1023.0,100.0
2.518887996673584,1023.0,100.0
2.5480589866638184,1023.0,100.0
2.577207088470459,1023.0,100.0
2.606553077697754,1023.0,100.0
2.6356019973754883,1023.0,100.0
2.6648850440979004,1023.0,100.0
2.693977117538452,1023.0,100.0
2.7230641841888428,1023.0,100.0
2.7523279190063477,1023.0,100.0
2.781572103500366,1023.0,100.0
2.810880184173584,1023.0,100.0
2.840022087097168,1023.0,100.0
2.869162082672119,1023.0,100.0
2.8983139991760254,1023.0,100.0
2.9275898933410645,1023.0,100.0
2.956684112548828,1023.0,100.0
2.985988140106201,1023.0,100.0
3.015076160430908,1023.0,100.0
3.0441648960113525,1023.0,100.0
3.0734121799468994,1023.0,100.0
3.1027071475982666,1023.0,100.0
3.1320300102233887,1023.0,100.0
3.1610751152038574,1023.0,100.0
3.1902520656585693,1023.0,100.0
3.2194900512695312,1023.0,100.0
3.2486701011657715,1023.0,100.0
3.277863025665283,1023.0,100.0
3.307076930999756,1023.0,100.0
3.336172103881836,1023.0,100.0
3.3652570247650146,1023.0,100.0
3.3945119380950928,1023.0,100.0
3.4237709045410156,1023.0,100.0
3.4530491828918457,1023.0,100.0
3.4821581840515137,1023.0,100.0
3.511354923248291,1023.0,100.0
3.5405452251434326,1023.0,100.0
3.5698440074920654,1023.0,100.0
3.598926067352295,1023.0,100.0
3.628387212753296,1023.0,100.0
3.6573190689086914,1023.0,100.0
3.6863980293273926,1023.0,100.0
3.7156600952148438,1023.0,100.0
3.744981050491333,1023.0,100.0
3.7742090225219727,1023.0,100.0
3.803284168243408,1023.0,100.0
3.832487106323242,1023.0,100.0
3.8617448806762695,1023.0,100.0
3.890956163406372,1023.0,100.0
3.920042037963867,1023.0,100.0
3.949334144592285,1023.0,100.0
3.9784421920776367,1023.0,100.0
4.00752592086792,1023.0,100.0
4.0368499755859375,1023.0,100.0
4.066025972366333,1023.0,100.0
4.095323085784912,1023.0,100.0
4.124483108520508,1023.0,100.0
4.153680086135864,1023.0,100.0
4.182867050170898,1023.0,100.0
4.212100267410278,1023.0,100.0
4.24120306968689,1023.0,100.0
4.270446300506592,1023.0,100.0
4.299565076828003,1023.0,100.0
4.328814268112183,1023.0,100.0
4.357959985733032,1023.0,100.0
4.387166976928711,1023.0,100.0
4.416489124298096,1023.0,100.0
4.445605039596558,1023.0,100.0
4.474792957305908,1023.0,100.0
4.503972291946411,1023.0,100.0
4.533271074295044,1023.0,100.0
4.562299013137817,1023.0,100.0
4.591588258743286,1023.0,100.0
4.62074613571167,1023.0,100.0
4.649821043014526,1023.0,100.0
4.679005146026611,1023.0,100.0
4.708303928375244,1023.0,100.0
4.737588167190552,1023.0,100.0
4.766692161560059,1023.0,100.0
4.7959370613098145,1023.0,100.0
4.825042009353638,1023.0,100.0
4.854352951049805,1023.0,100.0
4.883449077606201,1023.0,100.0
4.912798166275024,1023.0,100.0
4.941797971725464,1023.0,100.0
4.970976114273071,1023.0,100.0
5.000120162963867,1023.0,100.0
5.029382944107056,1023.0,100.0
5.058622121810913,1023.0,100.0
5.087734222412109,1023.0,100.0
5.116956949234009,1023.0,100.0
5.146137952804565,1023.0,100.0
5.175417184829712,1023.0,100.0
5.2045440673828125,1023.0,100.0
5.23378324508667,1023.0,100.0
5.262936115264893,1023.0,100.0
5.291926145553589,1023.0,100.0
5.3212220668792725,1023.0,100.0
5.350481033325195,1023.0,100.0
5.379746198654175,1023.0,100.0
5.408949136734009,1023.0,100.0
5.438014030456543,1023.0,100.0
